publication_number,title,assignee,filing_date,publication_date,cpc_codes,disposition,oa_date,oa_type,section_101_rejected,section_102_rejected,section_103_rejected,section_112_rejected,has_claims_text,cited_prior_art_count,source_url
US10614371B2,US10614371B2 - Debugging quantum circuits by circuit rewriting,International Business Machines Corp,2017-09-29,2020-04-07,G06N10/00|G06N10/20|G06N10/70|G06N10/80,granted,,non-final,,,,,True,11,https://patents.google.com/patent/US10614371B2/en
US10665769B2,US10665769B2 - Quantum circuit assemblies with vertically-stacked parallel-plate capacitors,Intel Corp,2018-06-19,2020-05-26,G06N10/00|G06N10/20|H10N60/00|H10N60/80|H10N60/805|H10N60/01|H10N60/0912|H10N60/81|H10N60/815|H10N60/10|H10N60/12,granted,,non-final,,,,,True,12,https://patents.google.com/patent/US10665769B2/en
US10679138B2,US10679138B2 - Topological qubit fusion,Microsoft Technology Licensing LLC,2017-06-23,2020-06-09,G06N10/00|G06N10/20|G06N10/40|B82Y10/00|H10N60/00|H10N60/10|H10N60/128,granted,,non-final,,,,,True,10,https://patents.google.com/patent/US10679138B2/en
US10755193B2,US10755193B2 - Implementation of error mitigation for quantum computing machines,International Business Machines Corp,2018-12-03,2020-08-25,G06N10/00|G06N10/20|G06N10/40|G06N10/70,granted,,notice-of-allowance,,,,,True,12,https://patents.google.com/patent/US10755193B2/en
US10810505B2,US10810505B2 - Removal of wirebonds in quantum hardware,International Business Machines Corp,2020-01-09,2020-10-20,G06N10/00,granted,,notice-of-allowance,,,,,True,1,https://patents.google.com/patent/US10810505B2/en
US10846608B2,"US10846608B2 - Codes and protocols for distilling T, controlled-S, and toffoli gates",Microsoft Technology Licensing LLC,2018-05-17,2020-11-24,G06N10/00|G06N10/20|G06N10/70|G06N10/80,granted,,non-final,,,,,True,11,https://patents.google.com/patent/US10846608B2/en
US10922617B2,US10922617B2 - Embedding electronic structure in controllable quantum systems,Harvard University,2019-08-08,2021-02-16,G06N10/00|G06N10/40|G06N10/20|G06N10/60|G06N10/70|G06N10/80,granted,,notice-of-allowance,,,,,True,11,https://patents.google.com/patent/US10922617B2/en
US11023821B2,US11023821B2 - Embedding of a condensed matter system with an analog processor,D Wave Systems Inc,2018-01-26,2021-06-01,G06N10/00|G06N10/40|H10N60/00|H10N60/10|H10N60/12,granted,,non-final,,,,,True,11,https://patents.google.com/patent/US11023821B2/en
US11042812B2,US11042812B2 - Optimized testing of quantum-logic circuits,International Business Machines Corp,2019-05-29,2021-06-22,G06N10/00|G06N10/20|G06N10/80,granted,,notice-of-allowance,,,,,True,10,https://patents.google.com/patent/US11042812B2/en
US11080614B2,US11080614B2 - Systems and methods for quantum coherence preservation of qubits,Anametric Inc,2017-12-05,2021-08-03,G06N10/00|G06N10/70|G06N10/20,granted,,non-final,,,,,True,12,https://patents.google.com/patent/US11080614B2/en
US11100416B2,US11100416B2 - Systems and methods for degeneracy mitigation in a quantum processor,D Wave Systems Inc,2016-10-27,2021-08-24,G06N10/00|G06N10/70|G06N10/60,granted,,notice-of-allowance,,,,,True,12,https://patents.google.com/patent/US11100416B2/en
US11120360B2,US11120360B2 - Optical holographic addressing of atomic quantum bits,Massachusetts Institute of Technology,2020-10-02,2021-09-14,G06N10/00|G06N10/20|G06N10/40|G06N10/60,granted,,notice-of-allowance,,,,,True,12,https://patents.google.com/patent/US11120360B2/en
US11138511B2,"US11138511B2 - Problem solving using quantum annealer, useful for example in sequencing, for instance nucleic acid sequencing",D Wave Systems Inc,2017-12-19,2021-10-05,G06N10/00|G06N10/60,granted,,non-final,,,,,True,11,https://patents.google.com/patent/US11138511B2/en
US11238360B2,US11238360B2 - Fast quantum feedback using analog integration and control pulse gating,International Business Machines Corp,2018-02-12,2022-02-01,G06N10/00|G06N10/40,granted,,non-final,,,,,True,12,https://patents.google.com/patent/US11238360B2/en
US11348024B2,US11348024B2 - Universal adiabatic quantum computing with superconducting qubits,D Wave Systems Inc,2018-07-06,2022-05-31,G06N10/00|G06N10/20|G06N10/40|G06N10/80,granted,,notice-of-allowance,,,,,True,11,https://patents.google.com/patent/US11348024B2/en
US11367011B2,US11367011B2 - Compensation pulses for qubit readout,Google LLC,2016-12-13,2022-06-21,G06N10/00|G06N10/70|G06N10/40|B82Y10/00,granted,,non-final,,,,,True,10,https://patents.google.com/patent/US11367011B2/en
US11373112B2,US11373112B2 - Quantum computer based method for analyzing cyber data and spectra while performing optimization based on the analysis,US Department of Navy,2020-01-24,2022-06-28,G06N10/00|G06N10/60,granted,,notice-of-allowance,,,,,True,10,https://patents.google.com/patent/US11373112B2/en
US11416228B2,US11416228B2 - System and method of optimizing instructions for quantum computers,University of Chicago,2019-09-12,2022-08-16,G06N10/00|G06N10/80,granted,,notice-of-allowance,,,,,True,11,https://patents.google.com/patent/US11416228B2/en
US11429887B2,US11429887B2 - Tunable current-mirror qubit system,Northrop Grumman Systems Corp,2019-03-01,2022-08-30,G06N10/00|G06N10/40|G06N10/70|H10N60/00|H10N60/10|H10N60/12|B82Y10/00,granted,,non-final,,,,,True,10,https://patents.google.com/patent/US11429887B2/en
US11455563B2,US11455563B2 - Noise reduced circuits for trapped-ion quantum computers,IonQ Inc,2019-09-20,2022-09-27,G06N10/00|G06N10/60|G06N10/40,granted,,notice-of-allowance,,,,,True,11,https://patents.google.com/patent/US11455563B2/en
